,company,Job_title,location,involment,industry_emp,application,follower_link,state,city,country,Followers
273,Walmart Global Tech India,SENIOR SOLUTION CONSULTANT,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,"5,001-10,000 employees · IT Services and IT Consulting",See how you compare to 53 applicants. Try Premium for free,https://www.linkedin.com/company/walmartglobaltechindia/life/, Tamil Nadu,Chennai, India,"832,080 followers"
274,Accenture in India,Transaction Processing New Associate-Healthcare Claims,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Accenture in India. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Maharashtra,Mumbai, India,"1,497,014 followers"
275,Clinisys,Quality Assurance Engineer,"Kolkata, West Bengal, India",Full-time · Entry level,"1,001-5,000 employees · Software Development",See how you compare to 33 applicants. Try Premium for free,https://www.linkedin.com/company/clinisys/life/, West Bengal,Kolkata, India,"19,254 followers"
276,Expedite Informatics Pvt Ltd,"Hiring For BE, BCA & MCA Fresher","Pune, Maharashtra, India",Full-time,11-50 employees,See how you compare to 30 applicants. Try Premium for free,https://www.linkedin.com/company/expedite-informatics-pvt-ltd/life/, Maharashtra,Pune, India,"20,135 followers"
277,Jet Airways,Site Supervisor,"Hyderabad, Telangana, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 15 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Telangana,Hyderabad, India,"288,999 followers"
278,Koch Business Solutions India,AP - Inv. Proc. - Specialist,"Bengaluru, Karnataka, India",Full-time · Entry level,"1,001-5,000 employees · Oil and Gas",See how you compare to 10 applicants. Try Premium for free,https://www.linkedin.com/company/kbsindia/life/, Karnataka,Bengaluru, India,"27,705 followers"
279,Optum,"Quality Consultant - Bangalore, KA","Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"10,001+ employees · Hospitals and Health Care",See how you compare to 13 applicants. Try Premium for free,https://www.linkedin.com/company/optum/life/, Karnataka,Bengaluru, India,"571,067 followers"
280,Confidential,Fresher/Operations Executive,"Mumbai, Maharashtra, India",Full-time,"10,001+ employees",See how you compare to 51 applicants. Try Premium for free,https://www.linkedin.com/company/confidentialcompany/life/, Maharashtra,Mumbai, India,"2,146,148 followers"
281,Sutherland,Associate - Customer Service,"Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 7 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Mumbai, India,"481,663 followers"
282,BNP Paribas,Associate / Sr. Associate - NAR Referential MUMBAI,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · Banking",See how you compare to 4 applicants. Try Premium for free,https://www.linkedin.com/company/bnp-paribas/life/, Maharashtra,Mumbai, India,"1,220,092 followers"
283,WhiteSlips Job Management Consultants,Automation Test Engineer - Fresher,"Bengaluru, Karnataka, India",Full-time · Entry level,11-50 employees · Staffing and Recruiting,See how you compare to 19 applicants. Try Premium for free,https://www.linkedin.com/company/whiteslips/life/, Karnataka,Bengaluru, India,"13,113 followers"
284,Boeing,Entry Level Engineering Data Author,"Chennai, Tamil Nadu, India",Full-time,"10,001+ employees · Aviation and Aerospace Component Manufacturing",See how you compare to 375 applicants. Try Premium for free,https://www.linkedin.com/company/boeing/life/, Tamil Nadu,Chennai, India,"2,863,050 followers"
285,Commonwealth Bank,Customer Banking Specialist - Cronulla,Greater Madurai Area,Part-time · Mid-Senior level,"10,001+ employees · Financial Services",See recent hiring trends for Commonwealth Bank. Try Premium for free,https://www.linkedin.com/company/commonwealthbank/life/,None,None,Greater Madurai Area,"431,147 followers"
286,PwC,Associate - Mumbai - Technology Consulting,"Goregaon, Maharashtra, India",Full-time · Associate,"10,001+ employees · Accounting",See how you compare to 39 applicants. Try Premium for free,https://www.linkedin.com/company/pwc/life/, Maharashtra,Goregaon, India,None
287,Genpact,Process Associate-BFS024572,"Hyderabad, Telangana, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 143 applicants. Try Premium for free,https://www.linkedin.com/company/genpact/life/, Telangana,Hyderabad, India,"2,264,676 followers"
288,PINKVILLA,Consultant Copy Editor,India,Full-time · Associate,51-200 employees · Internet Publishing,See how you compare to 116 applicants. Try Premium for free,https://www.linkedin.com/company/pinkvilla/life/,None,None,India,"83,045 followers"
289,Sensata Technologies,Functional Safety Engineer,"Pune, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · Appliances, Electrical, and Electronics Manufacturing",See how you compare to 14 applicants. Try Premium for free,https://www.linkedin.com/company/sensata-technologies/life/, Maharashtra,Pune, India,"77,501 followers"
290,LDS Infotech Pvt Ltd,Job Opening for L1 Engineer - Andheri,"Mumbai, Maharashtra, India",Full-time · Entry level,51-200 employees · IT Services and IT Consulting,See how you compare to 10 applicants. Try Premium for free,https://www.linkedin.com/company/lds-infotech-pvt-ltd/life/, Maharashtra,Mumbai, India,"2,110 followers"
291,Sutherland,Research HY Credit (Lead Analyst)/Associate Manager - Level 4,"Navi Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Navi Mumbai, India,"481,663 followers"
292,Genpact,MT-HMS025705,"Hyderabad, Telangana, India",Full-time · Associate,"10,001+ employees · IT Services and IT Consulting",See how you compare to 16 applicants. Try Premium for free,https://www.linkedin.com/company/genpact/life/, Telangana,Hyderabad, India,"2,264,679 followers"
293,Accenture in India,Finance Program & Ops Analyst-Order to Cash Processing,"Chennai, Tamil Nadu, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 12 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Tamil Nadu,Chennai, India,"1,497,015 followers"
294,Bloom Energy,"Financial Business Analyst, Asset Management Group","Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"1,001-5,000 employees · Renewable Energy Semiconductor Manufacturing",See how you compare to 19 applicants. Try Premium for free,https://www.linkedin.com/company/bloom-energy/life/, Karnataka,Bengaluru, India,"80,825 followers"
295,BYJU'S,Business Development Associate,India,Full-time,"10,001+ employees",See how you compare to 39 applicants. Try Premium for free,https://www.linkedin.com/company/byjus/life/,None,None,India,"1,668,869 followers"
296,Metso Outotec,"Engineer/Sr. Engineer Application , Pumps","Alwar, Rajasthan, India",Full-time,"10,001+ employees · Machinery Manufacturing",See recent hiring trends for Metso Outotec. Try Premium for free,https://www.linkedin.com/company/metsooutotec/life/, Rajasthan,Alwar, India,"108,357 followers"
297,Accenture in India,Business Operation Specialist,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 26 applicants. Try Premium for free,https://www.linkedin.com/company/accentureindia/life/, Telangana,Hyderabad, India,"1,497,015 followers"
298,PwC India,Senior Associate - Gurugram 10 C - Technology Consulting,"Gurugram, Haryana, India",Full-time · Mid-Senior level,"5,001-10,000 employees · Business Consulting and Services",See how you compare to 6 applicants. Try Premium for free,https://www.linkedin.com/company/pwc-india/life/, Haryana,Gurugram, India,"914,701 followers"
299,Aashman Foundation,Student Intern,"Maharashtra, India",Internship,"1,001-5,000 employees",See how you compare to 4 applicants. Try Premium for free,https://www.linkedin.com/company/aashmanfoundationnew/life/,Maharashtra,None, India,None
300,Rapido,RM - Operations/Marketplace,"Bengaluru, Karnataka, India",Full-time · Entry level,"1,001-5,000 employees · IT Services and IT Consulting",See how you compare to 96 applicants. Try Premium for free,https://www.linkedin.com/company/rapido-bike/life/, Karnataka,Bengaluru, India,"178,439 followers"
301,Sutherland,Lead - Healthcare - Coding Quality Auditor (REF52J),"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Tamil Nadu,Chennai, India,"481,663 followers"
302,Corizo,Web Development Intern,India,Internship,51-200 employees,See how you compare to 18 applicants. Try Premium for free,https://www.linkedin.com/company/corizo-edutech/life/,None,None,India,"33,952 followers"
303,Genpact,Process Associate-BFS024583,"Noida, Uttar Pradesh, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 47 applicants. Try Premium for free,https://www.linkedin.com/company/genpact/life/, Uttar Pradesh,Noida, India,"2,264,680 followers"
304,ConverseNow.AI,Data Analyst,"Bangalore Urban, Karnataka, India",Full-time · Entry level,51-200 employees · IT Services and IT Consulting,See how you compare to 787 applicants. Try Premium for free,https://www.linkedin.com/company/conversenowai/life/, Karnataka,Bangalore Urban, India,"2,079 followers"
305,UBS,Risk Modeling & Analytics Specialist,"Mumbai, Maharashtra, India",Full-time,"10,001+ employees · Financial Services",See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/ubs/life/, Maharashtra,Mumbai, India,"1,252,052 followers"
306,PwC India,Senior Associate,Greater Kolkata Area,Full-time · Mid-Senior level,"5,001-10,000 employees · Business Consulting and Services",See how you compare to 26 applicants. Try Premium for free,https://www.linkedin.com/company/pwc-india/life/,None,None,Greater Kolkata Area,"914,702 followers"
307,PinkMoon Technologies,"Software Development/Training part time job/internship at Machilipatnam, Vijayawada in Pinkmoon Technologies","Vijayawada, Andhra Pradesh, India",Part-time · Internship,11-50 employees · IT Services and IT Consulting,See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/pinkmoontech/life/, Andhra Pradesh,Vijayawada, India,11 followers
308,Investec India,Human Resources (HR) Internship in Mumbai at Investec Capital Services (India) Private Limited,"Mumbai, Maharashtra, India",Full-time · Internship,51-200 employees · Financial Services,See how you compare to 6 applicants. Try Premium for free,https://www.linkedin.com/company/investec-india/life/, Maharashtra,Mumbai, India,"5,757 followers"
309,Jyotsna Hospital,Anesthesiologist,"Bengaluru, Karnataka, India",Full-time,51-200 employees,See recent hiring trends for Jyotsna Hospital. Try Premium for free,https://www.linkedin.com/company/jyotsnahospital/life/, Karnataka,Bengaluru, India,594 followers
310,Sutherland,Associate - Customer Service - Work At Home (REF11B),"Navi Mumbai, Maharashtra, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 22 applicants. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Navi Mumbai, India,"481,663 followers"
311,Mahindra Group,Assistant Manager-Simulation & SE (TCF),"Chakan, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · Executive Offices",See recent hiring trends for Mahindra & Mahindra Limited - Automotive. Try Premium for free,https://www.linkedin.com/company/mahindragroup/life/, Maharashtra,Chakan, India,"1,071,331 followers"
312,Bajaj Finserv,Manager - Debt Management Services - COE(JR00100391),"Pune, Maharashtra, India",Full-time,"10,001+ employees · Financial Services",See recent hiring trends for Bajaj Finserv. Try Premium for free,https://www.linkedin.com/company/bajaj-finserv-lending/life/, Maharashtra,Pune, India,"901,552 followers"
313,I Process India Limited (Icici Bank),Management Information System Analyst,"Guwahati, Assam, India",Full-time,51-200 employees,See how you compare to 10 applicants. Try Premium for free,https://www.linkedin.com/company/i-process-india-limited-icici-bank-/life/, Assam,Guwahati, India,"1,164 followers"
314,Sutherland,Associate Manager - Data Engineer,"Hyderabad, Telangana, India",Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Telangana,Hyderabad, India,"481,663 followers"
315,Sutherland,Lead-IB Research L3,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See recent hiring trends for Sutherland - Global. Try Premium for free,https://www.linkedin.com/company/sutherland-global/life/, Maharashtra,Mumbai, India,"481,663 followers"
316,Global Industrial Company,Internal Audit Assistant,"Mumbai, Maharashtra, India",Internship · Entry level,"1,001-5,000 employees · Wholesale",See how you compare to 23 applicants. Try Premium for free,https://www.linkedin.com/company/global-industrial-company/life/, Maharashtra,Mumbai, India,"20,766 followers"
317,Super Seva Service Private Limited,Front Office Executive,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,201-500 employees · Consumer Services,See recent hiring trends for Super Seva Service Private Limited. Try Premium for free,https://www.linkedin.com/company/super-seva-service-private-limited/life/, Karnataka,Bengaluru, India,None
318,Career Group,Mechanical Supervisor,"Sonipat, Haryana, India",Full-time · Mid-Senior level,51-200 employees · Human Resources Services,See how you compare to 9 applicants. Try Premium for free,https://www.linkedin.com/company/career-center/life/, Haryana,Sonipat, India,"14,480 followers"
319,MBA Hub,Finance Internship,India,Internship,1-10 employees,See how you compare to 21 applicants. Try Premium for free,https://www.linkedin.com/company/mba-hub/life/,None,None,India,"39,375 followers"
320,BNP Paribas,Business Analyst,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,"10,001+ employees · Banking",See how you compare to 159 applicants. Try Premium for free,https://www.linkedin.com/company/bnp-paribas/life/, Maharashtra,Mumbai, India,"1,220,093 followers"
321,Jet Airways,Mechanical Engineer,"Kayankulam, Kerala, India",Full-time · Entry level,"10,001+ employees · Airlines and Aviation",See how you compare to 23 applicants. Try Premium for free,https://www.linkedin.com/company/jet-airways/life/, Kerala,Kayankulam, India,"289,000 followers"
322,BYJU'S,Business Development Associate,India,Full-time,"10,001+ employees",See how you compare to 36 applicants. Try Premium for free,https://www.linkedin.com/company/byjus/life/,None,None,India,"1,668,871 followers"
323,DIAGEO India,Specialist- Financial Control,"Bengaluru, Karnataka, India",Full-time · Director,"1,001-5,000 employees · Manufacturing",See how you compare to 13 applicants. Try Premium for free,https://www.linkedin.com/company/diageo-india/life/, Karnataka,Bengaluru, India,"227,079 followers"
324,ITC Limited,Assistant Manager-HR,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"10,001+ employees · Manufacturing",See how you compare to 909 applicants. Try Premium for free,https://www.linkedin.com/company/itc-limited/life/, Karnataka,Bengaluru, India,"2,587,158 followers"
325,Genpact,Hiring for OTC- NOIDA,"Noida, Uttar Pradesh, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 114 applicants. Try Premium for free,https://www.linkedin.com/company/genpact/life/, Uttar Pradesh,Noida, India,"2,264,682 followers"
326,HP,Machine Learning Data Scientist,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,"10,001+ employees · IT Services and IT Consulting",See how you compare to 12 applicants. Try Premium for free,https://www.linkedin.com/company/hp/life/, Karnataka,Bengaluru, India,"5,143,604 followers"
